sensor_type,device_type,timestamps,ssid,bssid,frequency,level 
wlan,smartphone,1454956138645870495,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956138645828432,NorthstoneRE,00:71:c2:af:da:28,2412.000,-89.000
wlan,smartphone,1454956138645813891,,9c:1c:12:24:27:11,2412.000,-55.000
wlan,smartphone,1454956138645786495,Google Starbucks,9c:1c:12:24:27:10,2412.000,-56.000
wlan,smartphone,1454956142289897786,,9c:1c:12:24:27:19,5745.000,-57.000
wlan,smartphone,1454956142289866964,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-88.000
wlan,smartphone,1454956142289826307,xfinitywifi,00:71:c2:af:da:2a,2412.000,-88.000
wlan,smartphone,1454956145955077152,WLANh,9c:d6:43:2d:86:20,2412.000,-79.000
wlan,smartphone,1454956145955052298,WLANe,9c:d6:43:2d:86:21,2412.000,-79.000
wlan,smartphone,1454956145955049464,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-89.000
wlan,smartphone,1454956145955018256,Google Starbucks,9c:1c:12:24:27:10,2412.000,-58.000
wlan,smartphone,1454956145955013256,,9c:1c:12:24:27:19,5745.000,-57.000
wlan,smartphone,1454956145954973756,Lisbon Group 2.4,e0:3f:49:9b:c6:c8,2437.000,-91.000
wlan,smartphone,1454956145954938267,xfinitywifi,00:71:c2:80:39:da,2412.000,-90.000
wlan,smartphone,1454956149604039705,Google Starbucks,9c:1c:12:24:27:18,5745.000,-53.000
wlan,smartphone,1454956149603934622,WLANh,9c:d6:43:2d:86:20,2412.000,-76.000
wlan,smartphone,1454956149604935684,WLANe,9c:d6:43:2d:86:21,2412.000,-75.000
wlan,smartphone,1454956145955899518,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-89.000
wlan,smartphone,1454956149604905038,Google Starbucks,9c:1c:12:24:27:10,2412.000,-56.000
wlan,smartphone,1454956145955855913,,9c:1c:12:24:27:19,5745.000,-57.000
wlan,smartphone,1454956145955826778,Lisbon Group 2.4,e0:3f:49:9b:c6:c8,2437.000,-91.000
wlan,smartphone,1454956145955792382,xfinitywifi,00:71:c2:80:39:da,2412.000,-90.000
wlan,smartphone,1454956153247887457,Google Starbucks,9c:1c:12:24:27:18,5745.000,-62.000
wlan,smartphone,1454956153247846353,WLANh,9c:d6:43:2d:86:20,2412.000,-82.000
wlan,smartphone,1454956153247825686,WLANe,9c:d6:43:2d:86:21,2412.000,-80.000
wlan,smartphone,1454956153247813082,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-91.000
wlan,smartphone,1454956149604775665,Google Starbucks,9c:1c:12:24:27:10,2412.000,-56.000
wlan,smartphone,1454956153247777978,,9c:1c:12:24:27:19,5745.000,-63.000
wlan,smartphone,1454956177385910539,Google Starbucks,9c:1c:12:24:27:18,5745.000,-55.000
wlan,smartphone,1454956177385805435,WLANh,9c:d6:43:2d:86:20,2412.000,-80.000
wlan,smartphone,1454956177385799195,WLANe,9c:d6:43:2d:86:21,2412.000,-80.000
wlan,smartphone,1454956177385669560,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-89.000
wlan,smartphone,1454956177386361747,xfinitywifi,00:71:c2:80:39:da,2412.000,-87.000
wlan,smartphone,1454956177386313570,xfinitywifi,00:71:c2:af:da:2a,2412.000,-88.000
wlan,smartphone,1454956181051407228,Google Starbucks,9c:1c:12:24:27:18,5745.000,-55.000
wlan,smartphone,1454956181050620364,WLANh,9c:d6:43:2d:86:20,2412.000,-79.000
wlan,smartphone,1454956181051272499,WLANe,9c:d6:43:2d:86:21,2412.000,-79.000
wlan,smartphone,1454956177385843780,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-89.000
wlan,smartphone,1454956177385781332,xfinitywifi,00:71:c2:80:39:da,2412.000,-87.000
wlan,smartphone,1454956177385740239,xfinitywifi,00:71:c2:af:da:2a,2412.000,-88.000
wlan,smartphone,1454956181051196041,,9c:1c:12:24:27:11,2412.000,-58.000
wlan,smartphone,1454956181051187041,GilmanFacialAesthetics,00:71:c2:80:39:d8,2412.000,-89.000
wlan,smartphone,1454956181051129645,Google Starbucks,9c:1c:12:24:27:10,2412.000,-59.000
wlan,smartphone,1454956184683936959,Google Starbucks,9c:1c:12:24:27:18,5745.000,-56.000
wlan,smartphone,1454956184683795573,WLANh,9c:d6:43:2d:86:20,2412.000,-80.000
wlan,smartphone,1454956184683855344,WLANe,9c:d6:43:2d:86:21,2412.000,-80.000
wlan,smartphone,1454956184683732844,xfinitywifi,00:71:c2:af:da:2a,2412.000,-90.000
wlan,smartphone,1454956181052018230,,9c:1c:12:24:27:11,2412.000,-58.000
wlan,smartphone,1454956181052011782,GilmanFacialAesthetics,00:71:c2:80:39:d8,2412.000,-89.000
wlan,smartphone,1454956181051959802,Google Starbucks,9c:1c:12:24:27:10,2412.000,-59.000
wlan,smartphone,1454956184683797938,,9c:1c:12:24:27:19,5745.000,-58.000
wlan,smartphone,1454956184683591115,NorthstoneRE,00:71:c2:af:da:28,2412.000,-90.000
wlan,smartphone,1454956184683736188,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956188339785397,WLANh,9c:d6:43:2d:86:20,2412.000,-76.000
wlan,smartphone,1454956188339774408,WLANe,9c:d6:43:2d:86:21,2412.000,-76.000
wlan,smartphone,1454956188339731803,,9c:1c:12:24:27:11,2412.000,-57.000
wlan,smartphone,1454956188339703345,Google Starbucks,9c:1c:12:24:27:10,2412.000,-54.000
wlan,smartphone,1454956188339696272,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956188339669178,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956191995609920,Google Starbucks,9c:1c:12:24:27:18,5745.000,-58.000
wlan,smartphone,1454956191995498191,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956191995447056,WLANe,9c:d6:43:2d:86:21,2412.000,-73.000
wlan,smartphone,1454956191995509681,,9c:1c:12:24:27:11,2412.000,-54.000
wlan,smartphone,1454956191995473629,Google Starbucks,9c:1c:12:24:27:10,2412.000,-56.000
wlan,smartphone,1454956191995439108,NorthstoneRE,00:71:c2:af:da:28,2412.000,-90.000
wlan,smartphone,1454956188340097212,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956188340070014,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956191995359868,GilmanFacialAesthetics,00:71:c2:80:39:d8,2412.000,-89.000
wlan,smartphone,1454956217463107065,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956217463030429,WLANh,9c:d6:43:2d:86:20,2412.000,-74.000
wlan,smartphone,1454956217463012825,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956217462992169,NorthstoneRE,00:71:c2:af:da:28,2412.000,-89.000
wlan,smartphone,1454956217462996492,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956217462977346,,9c:1c:12:24:27:19,5745.000,-59.000
wlan,smartphone,1454956217462937033,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-89.000
wlan,smartphone,1454956217462887867,xfinitywifi,00:71:c2:af:da:2a,2412.000,-87.000
wlan,smartphone,1454956221121643618,Google Starbucks,9c:1c:12:24:27:18,5745.000,-55.000
wlan,smartphone,1454956221121584826,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956221121566306,WLANe,9c:d6:43:2d:86:21,2412.000,-73.000
wlan,smartphone,1454956217462529254,NorthstoneRE,00:71:c2:af:da:28,2412.000,-89.000
wlan,smartphone,1454956221121544879,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-87.000
wlan,smartphone,1454956221122525306,,9c:1c:12:24:27:19,5745.000,-59.000
wlan,smartphone,1454956217463471931,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-89.000
wlan,smartphone,1454956221122442556,xfinitywifi,00:71:c2:af:da:2a,2412.000,-86.000
wlan,smartphone,1454956221122428045,LisbonGroup Guest,e0:3f:49:9b:c6:c9,2437.000,-89.000
wlan,smartphone,1454956221122391431,Lisbon Group 2.4,e0:3f:49:9b:c6:c8,2437.000,-90.000
wlan,smartphone,1454956224752118276,Google Starbucks,9c:1c:12:24:27:18,5745.000,-55.000
wlan,smartphone,1454956224753059193,WLANh,9c:d6:43:2d:86:20,2412.000,-72.000
wlan,smartphone,1454956224753035797,WLANe,9c:d6:43:2d:86:21,2412.000,-85.000
wlan,smartphone,1454956221122427432,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-87.000
wlan,smartphone,1454956221122393693,,9c:1c:12:24:27:19,5745.000,-59.000
wlan,smartphone,1454956221122334224,xfinitywifi,00:71:c2:af:da:2a,2412.000,-86.000
wlan,smartphone,1454956221122320391,LisbonGroup Guest,e0:3f:49:9b:c6:c9,2437.000,-89.000
wlan,smartphone,1454956221122284557,Lisbon Group 2.4,e0:3f:49:9b:c6:c8,2437.000,-90.000
wlan,smartphone,1454956224752667818,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956228389568986,WLANh,9c:d6:43:2d:86:20,2412.000,-74.000
wlan,smartphone,1454956228389548309,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956228389536038,,9c:1c:12:24:27:19,5745.000,-60.000
wlan,smartphone,1454956228389513288,dlink,9c:d6:43:2d:86:28,5180.000,-87.000
wlan,smartphone,1454956232034015268,Google Starbucks,9c:1c:12:24:27:18,5745.000,-57.000
wlan,smartphone,1454956232033962977,WLANh,9c:d6:43:2d:86:20,2412.000,-74.000
wlan,smartphone,1454956232033948768,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956228389497758,,9c:1c:12:24:27:19,5745.000,-60.000
wlan,smartphone,1454956232033933904,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956232033896102,,9c:1c:12:24:27:11,2412.000,-56.000
wlan,smartphone,1454956232033891925,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-91.000
wlan,smartphone,1454956232034867498,REMAX_OTL_2.4,14:dd:a9:16:22:98,2462.000,-93.000
wlan,smartphone,1454956232034830841,Google Starbucks,9c:1c:12:24:27:10,2412.000,-55.000
wlan,smartphone,1454956258619478580,Google Starbucks,9c:1c:12:24:27:18,5745.000,-57.000
wlan,smartphone,1454956258619406434,WLANh,9c:d6:43:2d:86:20,2412.000,-75.000
wlan,smartphone,1454956258619396914,WLANe,9c:d6:43:2d:86:21,2412.000,-76.000
wlan,smartphone,1454956258619423018,,9c:1c:12:24:27:19,5745.000,-61.000
wlan,smartphone,1454956258619381361,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-92.000
wlan,smartphone,1454956258619280299,xfinitywifi,00:71:c2:af:da:2a,2412.000,-88.000
wlan,smartphone,1454956262285172300,Google Starbucks,9c:1c:12:24:27:18,5745.000,-59.000
wlan,smartphone,1454956262285118331,WLANh,9c:d6:43:2d:86:20,2412.000,-74.000
wlan,smartphone,1454956262285109331,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956262285117060,,9c:1c:12:24:27:19,5745.000,-60.000
wlan,smartphone,1454956258619135946,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-92.000
wlan,smartphone,1454956258619039362,xfinitywifi,00:71:c2:af:da:2a,2412.000,-88.000
wlan,smartphone,1454956262285049883,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956265976985615,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956265976954563,WLANe,9c:d6:43:2d:86:21,2412.000,-73.000
wlan,smartphone,1454956265976945802,,9c:1c:12:24:27:19,5745.000,-60.000
wlan,smartphone,1454956265976916084,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956265976869604,NorthstoneRE,00:71:c2:af:da:28,2412.000,-87.000
wlan,smartphone,1454956265976850625,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-87.000
wlan,smartphone,1454956269609219855,Google Starbucks,9c:1c:12:24:27:18,5745.000,-55.000
wlan,smartphone,1454956269609132532,WLANh,9c:d6:43:2d:86:20,2412.000,-74.000
wlan,smartphone,1454956269610125324,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956265977741845,,9c:1c:12:24:27:19,5745.000,-60.000
wlan,smartphone,1454956265977709417,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956265977667522,NorthstoneRE,00:71:c2:af:da:28,2412.000,-87.000
wlan,smartphone,1454956265977640365,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-87.000
wlan,smartphone,1454956273266857034,Google Starbucks,9c:1c:12:24:27:18,5745.000,-59.000
wlan,smartphone,1454956273266776316,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956273266777347,WLANe,9c:d6:43:2d:86:21,2412.000,-73.000
wlan,smartphone,1454956273266794462,,9c:1c:12:24:27:19,5745.000,-61.000
wlan,smartphone,1454956298626086450,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956298625972877,WLANh,9c:d6:43:2d:86:20,2412.000,-72.000
wlan,smartphone,1454956298625965346,WLANe,9c:d6:43:2d:86:21,2412.000,-72.000
wlan,smartphone,1454956298625953117,NorthstoneRE,00:71:c2:af:da:28,2412.000,-85.000
wlan,smartphone,1454956298625970585,Lisbon Group 2.4,e0:3f:49:9b:c6:c8,2437.000,-91.000
wlan,smartphone,1454956298625908231,xfinitywifi,00:71:c2:de:e5:22,2412.000,-89.000
wlan,smartphone,1454956302285219462,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956302285050504,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956302285019681,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956302284972556,NorthstoneRE,00:71:c2:af:da:28,2412.000,-85.000
wlan,smartphone,1454956298625434233,Lisbon Group 2.4,e0:3f:49:9b:c6:c8,2437.000,-91.000
wlan,smartphone,1454956298625348702,xfinitywifi,00:71:c2:de:e5:22,2412.000,-89.000
wlan,smartphone,1454956302284870056,,9c:1c:12:24:27:11,2412.000,-56.000
wlan,smartphone,1454956302284807452,Google Starbucks,9c:1c:12:24:27:10,2412.000,-57.000
wlan,smartphone,1454956302284743545,xfinitywifi,00:71:c2:af:da:2a,2412.000,-86.000
wlan,smartphone,1454956305974654504,WLANh,9c:d6:43:2d:86:20,2412.000,-75.000
wlan,smartphone,1454956305974627452,WLANe,9c:d6:43:2d:86:21,2412.000,-75.000
wlan,smartphone,1454956305974603848,NorthstoneRE,00:71:c2:af:da:28,2412.000,-84.000
wlan,smartphone,1454956305974585338,,9c:1c:12:24:27:11,2412.000,-54.000
wlan,smartphone,1454956305974350765,Google Starbucks,9c:1c:12:24:27:10,2412.000,-54.000
wlan,smartphone,1454956305974320536,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-83.000
wlan,smartphone,1454956309611053777,Google Starbucks,9c:1c:12:24:27:18,5745.000,-53.000
wlan,smartphone,1454956309610983121,WLANh,9c:d6:43:2d:86:20,2412.000,-74.000
wlan,smartphone,1454956309610963861,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956305973928329,NorthstoneRE,00:71:c2:af:da:28,2412.000,-84.000
wlan,smartphone,1454956305974905861,,9c:1c:12:24:27:11,2412.000,-54.000
wlan,smartphone,1454956305974873006,Google Starbucks,9c:1c:12:24:27:10,2412.000,-54.000
wlan,smartphone,1454956309611851798,xfinitywifi,00:71:c2:af:da:2a,2412.000,-85.000
wlan,smartphone,1454956309611841329,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956309611827913,,9c:1c:12:24:27:19,5745.000,-55.000
wlan,smartphone,1454956309611781829,dlink,9c:d6:43:2d:86:28,5180.000,-87.000
wlan,smartphone,1454956313253875768,Google Starbucks,9c:1c:12:24:27:18,5745.000,-53.000
wlan,smartphone,1454956313253840945,WLANh,9c:d6:43:2d:86:20,2412.000,-72.000
wlan,smartphone,1454956313253826132,WLANe,9c:d6:43:2d:86:21,2412.000,-72.000
wlan,smartphone,1454956313253804362,,9c:1c:12:24:27:11,2412.000,-56.000
wlan,smartphone,1454956313253785216,Google Starbucks,9c:1c:12:24:27:10,2412.000,-55.000
wlan,smartphone,1454956309611638466,xfinitywifi,00:71:c2:af:da:2a,2412.000,-85.000
wlan,smartphone,1454956309611640393,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956309611638070,,9c:1c:12:24:27:19,5745.000,-55.000
wlan,smartphone,1454956309611609487,dlink,9c:d6:43:2d:86:28,5180.000,-87.000
wlan,smartphone,1454956313253701987,Block Spider Tracker,00:17:c5:8d:ab:37,2417.000,-88.000
wlan,smartphone,1454956338723851018,Google Starbucks,9c:1c:12:24:27:18,5745.000,-53.000
wlan,smartphone,1454956338723793591,WLANh,9c:d6:43:2d:86:20,2412.000,-75.000
wlan,smartphone,1454956338723774789,WLANe,9c:d6:43:2d:86:21,2412.000,-75.000
wlan,smartphone,1454956338723763705,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-86.000
wlan,smartphone,1454956338723743570,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956342377531383,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956342377488800,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956342377471550,WLANe,9c:d6:43:2d:86:21,2412.000,-73.000
wlan,smartphone,1454956342377454133,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-90.000
wlan,smartphone,1454956338723938518,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956342377416675,,9c:1c:12:24:27:19,5745.000,-56.000
wlan,smartphone,1454956346070460051,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956346070457145,,9c:1c:12:24:27:19,5745.000,-56.000
wlan,smartphone,1454956349822285126,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956349822211334,WLANh,9c:d6:43:2d:86:20,2412.000,-74.000
wlan,smartphone,1454956349822180605,WLANe,9c:d6:43:2d:86:21,2412.000,-74.000
wlan,smartphone,1454956349822156240,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-90.000
wlan,smartphone,1454956349822123678,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956346071042667,,9c:1c:12:24:27:19,5745.000,-56.000
wlan,smartphone,1454956349822035001,LisbonGroup Guest,e0:3f:49:9b:c6:c9,2437.000,-91.000
wlan,smartphone,1454956353451147981,Google Starbucks,9c:1c:12:24:27:18,5745.000,-52.000
wlan,smartphone,1454956353451071127,WLANh,9c:d6:43:2d:86:20,2412.000,-73.000
wlan,smartphone,1454956353451070367,WLANe,9c:d6:43:2d:86:21,2412.000,-73.000
wlan,smartphone,1454956349821792440,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-90.000
wlan,smartphone,1454956349821764669,dlink,9c:d6:43:2d:86:28,5180.000,-89.000
wlan,smartphone,1454956353451005388,,9c:1c:12:24:27:19,5745.000,-59.000
wlan,smartphone,1454956349821702190,LisbonGroup Guest,e0:3f:49:9b:c6:c9,2437.000,-91.000
wlan,smartphone,1454956353450921106,,9c:1c:12:24:27:11,2412.000,-55.000
wlan,smartphone,1454956353450888065,Google Starbucks,9c:1c:12:24:27:10,2412.000,-54.000
wlan,smartphone,1454956378657143210,Google Starbucks,9c:1c:12:24:27:18,5745.000,-54.000
wlan,smartphone,1454956378657110689,WLANe,9c:d6:43:2d:86:21,2412.000,-79.000
wlan,smartphone,1454956378657109054,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-87.000
wlan,smartphone,1454956378657083064,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-87.000
wlan,smartphone,1454956382294332502,Google Starbucks,9c:1c:12:24:27:18,5745.000,-53.000
wlan,smartphone,1454956382294293680,WLANe,9c:d6:43:2d:86:21,2412.000,-87.000
wlan,smartphone,1454956382294281232,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-87.000
wlan,smartphone,1454956378656806294,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-87.000
wlan,smartphone,1454956382294241940,,9c:1c:12:24:27:19,5745.000,-53.000
wlan,smartphone,1454956382294207596,WLANh,9c:d6:43:2d:86:20,2412.000,-72.000
wlan,smartphone,1454956382294196940,NorthstoneRE,00:71:c2:af:da:28,2412.000,-87.000
wlan,smartphone,1454956385920479682,WLANe,9c:d6:43:2d:86:21,2412.000,-70.000
wlan,smartphone,1454956385920472275,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-86.000
wlan,smartphone,1454956385920442484,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-89.000
wlan,smartphone,1454956385920395713,WLANh,9c:d6:43:2d:86:20,2412.000,-71.000
wlan,smartphone,1454956385920381400,xfinitywifi,00:71:c2:af:da:2a,2412.000,-88.000
wlan,smartphone,1454956389563659485,Google Starbucks,9c:1c:12:24:27:18,5745.000,-47.000
wlan,smartphone,1454956389563582349,WLANe,9c:d6:43:2d:86:21,2412.000,-76.000
wlan,smartphone,1454956389563609047,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-86.000
wlan,smartphone,1454956385920878058,Lisbon Group 2.4,14:dd:a9:95:96:60,2437.000,-89.000
wlan,smartphone,1454956389563487214,WLANh,9c:d6:43:2d:86:20,2412.000,-77.000
wlan,smartphone,1454956389563493266,NorthstoneRE,00:71:c2:af:da:28,2412.000,-85.000
wlan,smartphone,1454956389563481006,xfinitywifi,00:71:c2:af:da:2a,2412.000,-86.000
wlan,smartphone,1454956389563495735,dlink,9c:d6:43:2d:86:28,5180.000,-88.000
wlan,smartphone,1454956389563484308,xfinitywifi,d8:97:ba:ca:66:aa,5805.000,-92.000
wlan,smartphone,1454956393239328184,Google Starbucks,9c:1c:12:24:27:18,5745.000,-50.000
wlan,smartphone,1454956393239219298,WLANe,9c:d6:43:2d:86:21,2412.000,-78.000
wlan,smartphone,1454956393239414506,ngHub_319435NU02CBD,28:c6:8e:c7:2b:43,2462.000,-88.000
wlan,smartphone,1454956393239135892,WLANh,9c:d6:43:2d:86:20,2412.000,-79.000
wlan,smartphone,1454956393239098371,NorthstoneRE,00:71:c2:af:da:28,2412.000,-81.000
wlan,smartphone,1454956393239092954,xfinitywifi,00:71:c2:af:da:2a,2412.000,-81.000
wlan,smartphone,1454956393239331642,dlink,9c:d6:43:2d:86:28,5180.000,-81.000
wlan,smartphone,1454956389563457121,xfinitywifi,d8:97:ba:ca:66:aa,5805.000,-92.000
wlan,smartphone,1454956393239019465,,9c:1c:12:24:27:11,2412.000,-55.000
wlan,smartphone,1454956393239011631,GilmanFacialAesthetics,00:71:c2:80:39:d8,2412.000,-86.000
wlan,smartphone,1454956393239250756,NorthstoneRE,00:71:c2:af:a1:28,5805.000,-91.000
wlan,smartphone,1454956393238956611,Lisbon Group 2.4,e0:3f:49:9b:c6:c8,2437.000,-89.000
