sensor_type,device_type,timestamps,data 
phonestate,smartphone,1454959876680000000,[37127,107884561,0]
phonestate,smartphone,1454959878047000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454959878680000000,[37127,108762385,0]
phonestate,smartphone,1454959879061000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454959880090000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454959894152000000,[37127,107884561,0]
phonestate,smartphone,1454960046196000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454960047369000000,[37127,108762385,0]
phonestate,smartphone,1454960048232000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454960060696000000,[37127,107884554,0]
phonestate,smartphone,1454960065649000000,[37127,108762378,0]
phonestate,smartphone,1454960288908000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454960289914000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454960290943000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454960470782000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454960471811000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454960636128000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454960637147000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454960638176000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454960659337000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454960660366000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454960915575000000,[37127,107884559,0]
phonestate,smartphone,1454961205102000000,[37127,108762376,0]
phonestate,smartphone,1454961207405000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454961208419000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454961369168000000,[37127,108762377,0]
phonestate,smartphone,1454961370032000000,[37127,108762376,0]
phonestate,smartphone,1454961370504000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454961371512000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454961372523000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454961478624000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454961479633000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454961480662000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454961763220000000,[37127,108762378,0]
phonestate,smartphone,1454961765528000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454961766561000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454961973335000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454961974341000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454961975353000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962057285000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962058289000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962369339000000,[37127,108762376,0]
phonestate,smartphone,1454962371688000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962372685000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962514746000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454962515753000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454962516795000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962573962000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962574972000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962659336000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454962660328000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454962661364000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962669421000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962673482000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962692706000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962694746000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962779724000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454962780780000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962781789000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962816244000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962817258000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962908636000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454962909645000000,DATA_ACTIVITY_IN
phonestate,smartphone,1454962910659000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962911684000000,DATA_ACTIVITY_OUT
phonestate,smartphone,1454962912715000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962913745000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962934923000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962935965000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454962982982000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454962984037000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454963141255000000,[37127,108762377,0]
phonestate,smartphone,1454963143612000000,DATA_ACTIVITY_INOUT
phonestate,smartphone,1454963144631000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454963149540000000,DATA_DISCONNECTED
phonestate,smartphone,1454963149540000000,DATA_DISCONNECTED
phonestate,smartphone,1454963149594000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454963175056000000,DATA_CONNECTED
phonestate,smartphone,1454963175056000000,DATA_CONNECTED
phonestate,smartphone,1454963175077000000,DATA_ACTIVITY_NONE
phonestate,smartphone,1454963178737000000,DATA_DISCONNECTED
phonestate,smartphone,1454963178737000000,DATA_DISCONNECTED
phonestate,smartphone,1454963178759000000,DATA_ACTIVITY_NONE
