sensor_type,device_type,timestamps,latitude,longitude,speed
location,smartphone,1454959965744000000,47.551,-122.056,0.000
location,smartphone,1454959985789000000,47.551,-122.056,0.000
location,smartphone,1454960003929,47.551,-122.056,0.000
location,smartphone,1454960025572,47.551,-122.056,0.000
location,smartphone,1454960043755,47.551,-122.056,0.000
location,smartphone,1454960025837000000,47.551,-122.056,0.000
location,smartphone,1454960046516000000,47.551,-122.056,0.000
location,smartphone,1454960065435,47.551,-122.056,0.000
location,smartphone,1454960083728,47.551,-122.056,0.000
location,smartphone,1454960105633,47.551,-122.056,0.000
location,smartphone,1454960085890000000,47.551,-122.056,0.000
location,smartphone,1454960105950000000,47.551,-122.056,0.000
location,smartphone,1454960124025,47.551,-122.056,0.000
location,smartphone,1454960145576,47.551,-122.056,0.000
location,smartphone,1454960163892,47.551,-122.056,0.000
location,smartphone,1454960145967000000,47.551,-122.056,0.000
location,smartphone,1454960166473000000,47.551,-122.056,0.000
location,smartphone,1454960185564,47.551,-122.056,0.000
location,smartphone,1454960203821,47.551,-122.057,0.000
location,smartphone,1454960225653,47.551,-122.056,0.000
location,smartphone,1454960266000,47.552,-122.056,0.000
location,smartphone,1454960283670,47.551,-122.056,0.000
location,smartphone,1454960299000,47.551,-122.056,0.000
location,smartphone,1454960302000,47.551,-122.056,0.286
location,smartphone,1454960206198000000,47.551,-122.057,0.000
location,smartphone,1454960226278000000,47.551,-122.056,0.000
location,smartphone,1454960310000,47.551,-122.056,2.382
location,smartphone,1454960323640,47.551,-122.056,0.000
location,smartphone,1454960342110,47.551,-122.056,0.000
location,smartphone,1454960305125000000,47.551,-122.056,0.000
location,smartphone,1454960325227000000,47.551,-122.056,0.000
location,smartphone,1454960345368000000,47.551,-122.056,0.000
location,smartphone,1454960382069,47.551,-122.056,0.000
location,smartphone,1454960472343,47.551,-122.056,0.000
location,smartphone,1454960505623,47.551,-122.056,0.000
location,smartphone,1454960505700000000,47.551,-122.056,0.000
location,smartphone,1454960545632,47.552,-122.056,0.000
location,smartphone,1454960564103,47.551,-122.056,0.000
location,smartphone,1454960565896000000,47.551,-122.056,0.000
location,smartphone,1454960603986,47.551,-122.056,0.000
location,smartphone,1454960625529,47.551,-122.056,0.000
location,smartphone,1454960638306,47.551,-122.056,0.000
location,smartphone,1454960626193000000,47.551,-122.056,0.000
location,smartphone,1454960646324000000,47.551,-122.056,0.000
location,smartphone,1454960665734,47.551,-122.056,0.000
location,smartphone,1454960680560,47.551,-122.056,0.000
location,smartphone,1454960705510,47.552,-122.055,0.000
location,smartphone,1454960712409,47.552,-122.055,0.000
location,smartphone,1454960686223000000,47.551,-122.056,0.000
location,smartphone,1454960706493000000,47.552,-122.055,0.000
location,smartphone,1454960745466,47.552,-122.055,0.000
location,smartphone,1454960752341,47.552,-122.055,0.000
location,smartphone,1454960786722,47.550,-122.032,0.000
location,smartphone,1454960803754,47.550,-122.059,0.000
location,smartphone,1454960825496,47.548,-122.062,0.000
location,smartphone,1454960807283000000,47.550,-122.059,0.000
location,smartphone,1454960826852000000,47.548,-122.062,0.000
location,smartphone,1454960846816,47.550,-122.032,0.000
location,smartphone,1454960865488,47.546,-122.062,0.000
location,smartphone,1454960883789,47.545,-122.056,0.000
location,smartphone,1454960866962000000,47.546,-122.062,0.000
location,smartphone,1454960887402000000,47.545,-122.056,0.000
location,smartphone,1454960905571,47.544,-122.049,0.000
location,smartphone,1454960927081,47.545,-122.045,0.000
location,smartphone,1454960907470000000,47.544,-122.049,0.000
location,smartphone,1454960927204000000,47.545,-122.045,0.000
location,smartphone,1454960963830,47.537,-122.031,0.000
location,smartphone,1454960985467,47.534,-122.031,0.000
location,smartphone,1454961007264,47.545,-122.045,0.000
location,smartphone,1454960987672000000,47.534,-122.031,0.000
location,smartphone,1454961012342000000,47.545,-122.045,0.000
location,smartphone,1454961043836,47.537,-122.019,0.000
location,smartphone,1454961049000,47.537,-122.017,0.000
location,smartphone,1454961051000,47.537,-122.017,0.000
location,smartphone,1454961062061,47.539,-122.020,0.000
location,smartphone,1454961064237000000,47.539,-122.020,0.000
location,smartphone,1454961072496,47.539,-122.019,0.000
location,smartphone,1454961083000,47.539,-122.019,0.256
location,smartphone,1454961083929,47.539,-122.020,0.000
location,smartphone,1454961112509,47.541,-122.019,0.000
location,smartphone,1454961098643000000,47.539,-122.020,0.000
location,smartphone,1454961118889000000,47.541,-122.019,0.000
location,smartphone,1454961138588,47.542,-122.018,0.000
location,smartphone,1454961158711,47.545,-122.045,0.000
location,smartphone,1454961178545,47.543,-122.018,0.000
location,smartphone,1454961158782000000,47.545,-122.045,0.000
location,smartphone,1454961179131000000,47.543,-122.018,0.000
location,smartphone,1454961192537,47.543,-122.018,0.000
location,smartphone,1454961218596,47.543,-122.018,0.000
location,smartphone,1454961232492,47.543,-122.018,0.000
location,smartphone,1454961219208000000,47.543,-122.018,0.000
location,smartphone,1454961239660000000,47.543,-122.018,0.000
location,smartphone,1454961258592,47.543,-122.018,0.000
location,smartphone,1454961272498,47.543,-122.018,0.000
location,smartphone,1454961298570,47.543,-122.019,0.000
location,smartphone,1454961278979000000,47.543,-122.018,0.000
location,smartphone,1454961299373000000,47.543,-122.019,0.000
location,smartphone,1454961312528,47.543,-122.018,0.000
location,smartphone,1454961338565,47.543,-122.019,0.000
location,smartphone,1454961352434,47.543,-122.019,0.000
location,smartphone,1454961339762000000,47.543,-122.019,0.000
location,smartphone,1454961359361000000,47.543,-122.019,0.000
location,smartphone,1454961378537,47.543,-122.019,0.000
location,smartphone,1454961392312,47.543,-122.019,0.000
location,smartphone,1454961418568,47.543,-122.019,0.000
location,smartphone,1454961399461000000,47.543,-122.019,0.000
location,smartphone,1454961419534000000,47.543,-122.019,0.000
location,smartphone,1454961432408,47.543,-122.019,0.000
location,smartphone,1454961458578,47.543,-122.019,0.000
location,smartphone,1454961472399,47.543,-122.019,0.000
location,smartphone,1454961482000,47.542,-122.019,0.275
location,smartphone,1454961492000,47.542,-122.019,0.817
location,smartphone,1454961459676000000,47.543,-122.019,0.000
location,smartphone,1454961478989000000,47.543,-122.019,0.000
location,smartphone,1454961508990,47.543,-122.019,0.000
location,smartphone,1454961523844,47.543,-122.019,0.000
location,smartphone,1454961549020,47.543,-122.019,0.000
location,smartphone,1454961509119000000,47.543,-122.019,0.000
location,smartphone,1454961529138000000,47.543,-122.019,0.000
location,smartphone,1454961549380000000,47.543,-122.019,0.000
location,smartphone,1454961569098,47.542,-122.017,0.000
location,smartphone,1454961589066,47.544,-122.019,0.000
location,smartphone,1454961603954,47.544,-122.019,0.000
location,smartphone,1454961589697000000,47.544,-122.019,0.000
location,smartphone,1454961609225000000,47.544,-122.019,0.000
location,smartphone,1454961629084,47.545,-122.019,0.000
location,smartphone,1454961643978,47.545,-122.019,0.000
location,smartphone,1454961665716,47.545,-122.019,0.000
location,smartphone,1454961649254000000,47.545,-122.019,0.000
location,smartphone,1454961669317000000,47.545,-122.019,0.000
location,smartphone,1454961684185,47.545,-122.019,0.000
location,smartphone,1454961705698,47.545,-122.019,0.000
location,smartphone,1454961714000,47.545,-122.019,0.825
location,smartphone,1454961724220,47.545,-122.019,0.000
location,smartphone,1454961709342000000,47.545,-122.019,0.000
location,smartphone,1454961729374000000,47.545,-122.019,0.000
location,smartphone,1454961749187,47.545,-122.019,0.000
location,smartphone,1454961767454,47.546,-122.019,0.000
location,smartphone,1454961789172,47.546,-122.019,0.000
location,smartphone,1454961795967,47.546,-122.020,0.000
location,smartphone,1454961769455000000,47.546,-122.019,0.000
location,smartphone,1454961789609000000,47.546,-122.019,0.000
location,smartphone,1454961829422,47.546,-122.019,0.000
location,smartphone,1454961840876,47.546,-122.019,0.000
location,smartphone,1454961849600000000,47.546,-122.019,0.000
location,smartphone,1454961869062,47.547,-122.019,0.000
location,smartphone,1454961883969,47.547,-122.019,0.000
location,smartphone,1454961889708000000,47.547,-122.019,0.000
location,smartphone,1454961924121,47.547,-122.019,0.000
location,smartphone,1454961989547,47.546,-122.020,0.000
location,smartphone,1454962000975,47.546,-122.019,0.000
location,smartphone,1454962029479,47.546,-122.019,0.000
location,smartphone,1454962009965000000,47.546,-122.019,0.000
location,smartphone,1454962030042000000,47.546,-122.019,0.000
location,smartphone,1454962044324,47.546,-122.019,0.000
location,smartphone,1454962068800,47.546,-122.019,0.000
location,smartphone,1454962083685,47.546,-122.019,0.000
location,smartphone,1454962070097000000,47.546,-122.019,0.000
location,smartphone,1454962090157000000,47.546,-122.019,0.000
location,smartphone,1454962109175,47.545,-122.019,0.000
location,smartphone,1454962124092,47.545,-122.019,0.000
location,smartphone,1454962149279,47.545,-122.018,0.000
location,smartphone,1454962110183000000,47.545,-122.019,0.000
location,smartphone,1454962130247000000,47.545,-122.019,0.000
location,smartphone,1454962150471000000,47.545,-122.018,0.000
location,smartphone,1454962164179,47.545,-122.018,0.000
location,smartphone,1454962189403,47.544,-122.017,0.000
location,smartphone,1454962204393,47.544,-122.017,0.000
location,smartphone,1454962191138000000,47.544,-122.017,0.000
location,smartphone,1454962210672000000,47.544,-122.017,0.000
location,smartphone,1454962229074,47.543,-122.016,0.000
location,smartphone,1454962243859,47.543,-122.016,0.000
location,smartphone,1454962268776,47.544,-122.018,0.000
location,smartphone,1454962250738000000,47.543,-122.016,0.000
location,smartphone,1454962270941000000,47.544,-122.018,0.000
location,smartphone,1454962283649,47.544,-122.017,0.000
location,smartphone,1454962309383,47.544,-122.019,0.000
location,smartphone,1454962324307,47.544,-122.019,0.000
location,smartphone,1454962310953000000,47.544,-122.019,0.000
location,smartphone,1454962331118000000,47.544,-122.019,0.000
location,smartphone,1454962349084,47.543,-122.019,0.000
location,smartphone,1454962364033,47.543,-122.019,0.000
location,smartphone,1454962388930,47.543,-122.018,0.000
location,smartphone,1454962371207000000,47.543,-122.019,0.000
location,smartphone,1454962391290000000,47.543,-122.018,0.000
location,smartphone,1454962403779,47.543,-122.019,0.000
location,smartphone,1454962428959,47.543,-122.018,0.000
location,smartphone,1454962443866,47.543,-122.018,0.000
location,smartphone,1454962431396000000,47.543,-122.018,0.000
location,smartphone,1454962451506000000,47.543,-122.018,0.000
location,smartphone,1454962469025,47.543,-122.018,0.000
location,smartphone,1454962483872,47.543,-122.018,0.000
location,smartphone,1454962509143,47.543,-122.018,0.000
location,smartphone,1454962491631000000,47.543,-122.018,0.000
location,smartphone,1454962511772000000,47.543,-122.018,0.000
location,smartphone,1454962528432,47.543,-122.018,0.000
location,smartphone,1454962548986,47.543,-122.018,0.000
location,smartphone,1454962555748,47.543,-122.019,0.000
location,smartphone,1454962551871000000,47.543,-122.018,0.000
location,smartphone,1454962588818,47.543,-122.019,0.000
location,smartphone,1454962600254,47.543,-122.018,0.000
location,smartphone,1454962629026,47.543,-122.018,0.000
location,smartphone,1454962611901000000,47.543,-122.018,0.000
location,smartphone,1454962631953000000,47.543,-122.018,0.000
location,smartphone,1454962643885,47.543,-122.018,0.000
location,smartphone,1454962668603,47.543,-122.019,0.000
location,smartphone,1454962683444,47.541,-122.015,0.000
location,smartphone,1454962672044000000,47.543,-122.019,0.000
location,smartphone,1454962692855000000,47.541,-122.015,0.000
location,smartphone,1454962708659,47.543,-122.018,0.000
location,smartphone,1454962732056,47.542,-122.017,0.000
location,smartphone,1454962748971,47.543,-122.018,0.000
location,smartphone,1454962763000,47.543,-122.018,1.440
location,smartphone,1454962712115000000,47.543,-122.018,0.000
location,smartphone,1454962732172000000,47.542,-122.017,0.000
location,smartphone,1454962752212000000,47.543,-122.018,0.000
location,smartphone,1454962772234,47.542,-122.017,0.000
location,smartphone,1454962788648,47.543,-122.018,0.000
location,smartphone,1454962794000,47.543,-122.018,0.070
location,smartphone,1454962803514,47.543,-122.018,0.000
location,smartphone,1454962790339000000,47.543,-122.018,0.000
location,smartphone,1454962810365000000,47.543,-122.018,0.000
location,smartphone,1454962828826,47.543,-122.019,0.000
location,smartphone,1454962843680,47.543,-122.018,0.000
location,smartphone,1454962868919,47.543,-122.018,0.000
location,smartphone,1454962850486000000,47.543,-122.018,0.000
location,smartphone,1454962870526000000,47.543,-122.018,0.000
location,smartphone,1454962883774,47.543,-122.018,0.000
location,smartphone,1454962908831,47.543,-122.019,0.000
location,smartphone,1454962912228,47.543,-122.019,0.000
location,smartphone,1454962910606000000,47.543,-122.019,0.000
location,smartphone,1454962948845,47.543,-122.018,0.000
location,smartphone,1454962970663,47.542,-122.017,0.000
location,smartphone,1454962988728,47.543,-122.019,0.000
location,smartphone,1454962970718000000,47.542,-122.017,0.000
location,smartphone,1454962990778000000,47.543,-122.019,0.000
location,smartphone,1454963003548,47.543,-122.019,0.000
location,smartphone,1454963029037,47.543,-122.019,0.000
location,smartphone,1454963043925,47.543,-122.019,0.000
location,smartphone,1454963030884000000,47.543,-122.019,0.000
location,smartphone,1454963051094000000,47.543,-122.019,0.000
location,smartphone,1454963069031,47.543,-122.019,0.000
location,smartphone,1454963088327,47.544,-122.019,0.000
location,smartphone,1454963093161,47.544,-122.019,0.000
location,smartphone,1454963091292000000,47.544,-122.019,0.000
location,smartphone,1454963126327,47.543,-122.020,0.000
location,smartphone,1454963178603,47.543,-122.020,0.000
location,smartphone,1454963182000,47.543,-122.020,0.000
location,smartphone,1454963185901,47.543,-122.020,0.000
location,smartphone,1454963192000,47.544,-122.020,4.004
location,smartphone,1454963192828,47.544,-122.020,3.991
location,smartphone,1454963229836,47.543,-122.020,0.000
location,smartphone,1454963211191000000,47.543,-122.020,0.000
location,smartphone,1454963231122000000,47.543,-122.020,0.000
location,smartphone,1454963239762,47.543,-122.020,0.000
location,smartphone,1454963269622,47.543,-122.020,0.000
location,smartphone,1454963273254,47.543,-122.020,0.000
location,smartphone,1454963271761000000,47.543,-122.020,0.000
location,smartphone,1454963309669,47.543,-122.020,0.000
location,smartphone,1454963313310,47.543,-122.020,0.000
location,smartphone,1454963349554,47.543,-122.020,0.000
location,smartphone,1454963353203,47.543,-122.020,0.000
location,smartphone,1454963385991,47.543,-122.020,0.000
location,smartphone,1454963311686000000,47.543,-122.020,0.000
location,smartphone,1454963352724000000,47.543,-122.020,0.000
location,smartphone,1454963393239,47.543,-122.020,0.000
location,smartphone,1454963421000,47.543,-122.020,0.000
location,smartphone,1454963425955,47.543,-122.020,0.000
location,smartphone,1454963433190,47.543,-122.020,0.000
location,smartphone,1454963465945,47.543,-122.020,0.000
location,smartphone,1454963473201,47.543,-122.020,0.000
location,smartphone,1454963469628000000,47.543,-122.020,0.000
location,smartphone,1454963509581,47.543,-122.020,0.000
location,smartphone,1454963513247,47.543,-122.020,0.000
location,smartphone,1454963549589,47.543,-122.020,0.000
location,smartphone,1454963553236,47.543,-122.020,0.000
location,smartphone,1454963589606,47.543,-122.020,0.000
location,smartphone,1454963593252,47.543,-122.020,0.000
location,smartphone,1454963590184000000,47.543,-122.020,0.000
location,smartphone,1454963629602,47.543,-122.020,0.000
location,smartphone,1454963669691,47.543,-122.020,0.000
location,smartphone,1454963673361,47.543,-122.020,0.000
location,smartphone,1454963709954,47.543,-122.020,0.000
location,smartphone,1454963713571,47.543,-122.020,0.000
location,smartphone,1454963710444000000,47.543,-122.020,0.000
location,smartphone,1454963749795,47.543,-122.020,0.000
location,smartphone,1454963753529,47.543,-122.020,0.000
location,smartphone,1454963790090,47.543,-122.020,0.000
location,smartphone,1454963829784,47.543,-122.020,0.000
location,smartphone,1454963833532,47.543,-122.020,0.000
location,smartphone,1454963831121000000,47.543,-122.020,0.000
location,smartphone,1454963869745,47.543,-122.020,0.000
location,smartphone,1454963873459,47.543,-122.020,0.000
location,smartphone,1454963913579,47.543,-122.020,0.000
location,smartphone,1454963949867,47.543,-122.020,0.000
location,smartphone,1454963953519,47.543,-122.020,0.000
location,smartphone,1454963911528000000,47.543,-122.020,0.000
location,smartphone,1454963951597000000,47.543,-122.020,0.000
location,smartphone,1454963989649,47.543,-122.020,0.000
location,smartphone,1454963993274,47.543,-122.020,0.000
location,smartphone,1454964029680,47.543,-122.020,0.000
location,smartphone,1454964033357,47.543,-122.020,0.000
location,smartphone,1454964069610,47.543,-122.020,0.000
location,smartphone,1454964073266,47.543,-122.020,0.000
