sensor_type,device_type,timestamps,rate
heartrate,smartwatch,1454956141804549688,144.000
heartrate,smartwatch,1454956141923549115,145.000
heartrate,smartwatch,1454956142289547031,146.000
heartrate,smartwatch,1454956142650498385,145.000
heartrate,smartwatch,1454956144554544271,146.000
heartrate,smartwatch,1454956144791517083,147.000
heartrate,smartwatch,1454956144909548906,148.000
heartrate,smartwatch,1454956145146548333,149.000
heartrate,smartwatch,1454956145631418854,148.000
heartrate,smartwatch,1454956148734516719,148.000
heartrate,smartwatch,1454956148845549271,147.000
heartrate,smartwatch,1454956149206497291,146.000
heartrate,smartwatch,1454956149439548334,145.000
heartrate,smartwatch,1454956149678550313,144.000
heartrate,smartwatch,1454956149795573750,143.000
heartrate,smartwatch,1454956150035551146,142.000
heartrate,smartwatch,1454956150148575000,143.000
heartrate,smartwatch,1454956150262547240,142.000
heartrate,smartwatch,1454956150392358489,143.000
heartrate,smartwatch,1454956150872549166,144.000
heartrate,smartwatch,1454956151621481511,145.000
heartrate,smartwatch,1454956151855537188,146.000
heartrate,smartwatch,1454956152091549948,147.000
heartrate,smartwatch,1454956152323574323,148.000
heartrate,smartwatch,1454956153286552709,147.000
heartrate,smartwatch,1454956153403518281,148.000
heartrate,smartwatch,1454956153640518750,147.000
heartrate,smartwatch,1454956154586501198,148.000
heartrate,smartwatch,1454956154942490834,149.000
heartrate,smartwatch,1454956155782501458,148.000
heartrate,smartwatch,1454956157216500521,146.000
heartrate,smartwatch,1454956157577437448,145.000
heartrate,smartwatch,1454956158524516823,146.000
heartrate,smartwatch,1454956161848517031,147.000
heartrate,smartwatch,1454956162079548594,146.000
heartrate,smartwatch,1454956162320498854,145.000
heartrate,smartwatch,1454956162559515365,144.000
heartrate,smartwatch,1454956162916575208,143.000
heartrate,smartwatch,1454956163153516146,142.000
heartrate,smartwatch,1454956163856546614,141.000
heartrate,smartwatch,1454956163979537448,142.000
heartrate,smartwatch,1454956164450550052,143.000
heartrate,smartwatch,1454956165175539688,142.000
heartrate,smartwatch,1454956165408548542,141.000
heartrate,smartwatch,1454956167681519219,143.000
heartrate,smartwatch,1454956167918517761,144.000
heartrate,smartwatch,1454956168152551927,145.000
heartrate,smartwatch,1454956168651550208,145.000
heartrate,smartwatch,1454956169255548333,144.000
heartrate,smartwatch,1454956172714519427,145.000
heartrate,smartwatch,1454956172829538177,146.000
heartrate,smartwatch,1454956173315521927,147.000
heartrate,smartwatch,1454956175225516666,148.000
heartrate,smartwatch,1454956175591537969,149.000
heartrate,smartwatch,1454956175940547500,150.000
heartrate,smartwatch,1454956176530584427,152.000
heartrate,smartwatch,1454956176791633958,153.000
heartrate,smartwatch,1454956176909575156,154.000
heartrate,smartwatch,1454956177145518021,155.000
heartrate,smartwatch,1454956177486551406,156.000
heartrate,smartwatch,1454956179963516355,157.000
heartrate,smartwatch,1454956180329517448,156.000
heartrate,smartwatch,1454956180565574166,155.000
heartrate,smartwatch,1454956180690548125,156.000
heartrate,smartwatch,1454956180812519896,155.000
heartrate,smartwatch,1454956181278516093,154.000
heartrate,smartwatch,1454956181759537969,155.000
heartrate,smartwatch,1454956181993553645,156.000
heartrate,smartwatch,1454956182226574063,157.000
heartrate,smartwatch,1454956182339578386,156.000
heartrate,smartwatch,1454956182447546823,157.000
heartrate,smartwatch,1454956184257437239,158.000
heartrate,smartwatch,1454956184611518646,157.000
heartrate,smartwatch,1454956185351520052,158.000
heartrate,smartwatch,1454956185710519115,159.000
heartrate,smartwatch,1454956185964518229,160.000
heartrate,smartwatch,1454956186681592032,160.000
heartrate,smartwatch,1454956186803413802,161.000
heartrate,smartwatch,1454956188219692813,162.000
heartrate,smartwatch,1454956189036546197,161.000
heartrate,smartwatch,1454956191749539323,162.000
heartrate,smartwatch,1454956191870469115,161.000
heartrate,smartwatch,1454956192465573594,160.000
heartrate,smartwatch,1454956192694550729,159.000
heartrate,smartwatch,1454956192937515052,158.000
heartrate,smartwatch,1454956195073515729,157.000
heartrate,smartwatch,1454956195193517969,158.000
heartrate,smartwatch,1454956195306548958,157.000
heartrate,smartwatch,1454956195804538490,158.000
heartrate,smartwatch,1454956196059426510,160.000
heartrate,smartwatch,1454956196270731875,161.000
heartrate,smartwatch,1454956196498508698,162.000
heartrate,smartwatch,1454956197225531615,163.000
heartrate,smartwatch,1454956197345483333,162.000
heartrate,smartwatch,1454956197462532188,163.000
heartrate,smartwatch,1454956197583490000,162.000
heartrate,smartwatch,1454956198529541563,161.000
heartrate,smartwatch,1454956198773567865,160.000
heartrate,smartwatch,1454956198893570781,159.000
heartrate,smartwatch,1454956199129536562,158.000
heartrate,smartwatch,1454956199719568542,159.000
heartrate,smartwatch,1454956201895571511,160.000
heartrate,smartwatch,1454956202252517761,161.000
heartrate,smartwatch,1454956202360575729,162.000
heartrate,smartwatch,1454956202600516563,163.000
heartrate,smartwatch,1454956202717457812,162.000
heartrate,smartwatch,1454956204158495157,161.000
heartrate,smartwatch,1454956204279519479,162.000
heartrate,smartwatch,1454956204393546875,161.000
heartrate,smartwatch,1454956205598516563,162.000
heartrate,smartwatch,1454956205718547969,161.000
heartrate,smartwatch,1454956205844513854,162.000
heartrate,smartwatch,1454956208224516615,160.000
heartrate,smartwatch,1454956208448550677,159.000
heartrate,smartwatch,1454956208815476511,158.000
heartrate,smartwatch,1454956209734540208,157.000
heartrate,smartwatch,1454956211156366146,156.000
heartrate,smartwatch,1454956211638547917,157.000
heartrate,smartwatch,1454956214395573802,156.000
heartrate,smartwatch,1454956214632576354,155.000
heartrate,smartwatch,1454956214882547292,154.000
heartrate,smartwatch,1454956215001549896,153.000
heartrate,smartwatch,1454956215126507813,152.000
heartrate,smartwatch,1454956215247546354,151.000
heartrate,smartwatch,1454956215363530886,150.000
heartrate,smartwatch,1454956215485509062,148.000
heartrate,smartwatch,1454956215717477812,146.000
heartrate,smartwatch,1454956215972415573,145.000
heartrate,smartwatch,1454956216303657968,142.000
heartrate,smartwatch,1454956216521572968,141.000
heartrate,smartwatch,1454956216652546146,140.000
heartrate,smartwatch,1454956217611548125,141.000
heartrate,smartwatch,1454956217976517135,140.000
heartrate,smartwatch,1454956218348479166,139.000
heartrate,smartwatch,1454956220030517084,140.000
heartrate,smartwatch,1454956221567434375,141.000
heartrate,smartwatch,1454956223449548020,142.000
heartrate,smartwatch,1454956223801547604,143.000
heartrate,smartwatch,1454956224287248021,142.000
heartrate,smartwatch,1454956224515548386,141.000
heartrate,smartwatch,1454956224752549583,140.000
heartrate,smartwatch,1454956225228548541,139.000
heartrate,smartwatch,1454956225701546198,138.000
heartrate,smartwatch,1454956226639496302,136.000
heartrate,smartwatch,1454956227351512968,135.000
heartrate,smartwatch,1454956227942575105,136.000
heartrate,smartwatch,1454956228062575573,135.000
heartrate,smartwatch,1454956228182549218,136.000
heartrate,smartwatch,1454956228643498073,135.000
heartrate,smartwatch,1454956231242538073,134.000
heartrate,smartwatch,1454956233385549063,135.000
heartrate,smartwatch,1454956233752420104,136.000
heartrate,smartwatch,1454956234343572760,137.000
heartrate,smartwatch,1454956234466537916,138.000
heartrate,smartwatch,1454956234707387917,139.000
heartrate,smartwatch,1454956234958421198,140.000
heartrate,smartwatch,1454956235190498021,139.000
heartrate,smartwatch,1454956235420549583,138.000
heartrate,smartwatch,1454956235646574531,137.000
heartrate,smartwatch,1454956236261518333,139.000
heartrate,smartwatch,1454956236370569583,140.000
heartrate,smartwatch,1454956236605486927,141.000
heartrate,smartwatch,1454956236725516510,142.000
heartrate,smartwatch,1454956236962516146,143.000
heartrate,smartwatch,1454956237326477344,144.000
heartrate,smartwatch,1454956239581573021,145.000
heartrate,smartwatch,1454956240653517240,146.000
heartrate,smartwatch,1454956241274519583,147.000
heartrate,smartwatch,1454956241489572864,148.000
heartrate,smartwatch,1454956241844498646,150.000
heartrate,smartwatch,1454956242216550417,152.000
heartrate,smartwatch,1454956242451542344,154.000
heartrate,smartwatch,1454956242571552969,153.000
heartrate,smartwatch,1454956242693541302,154.000
heartrate,smartwatch,1454956242924573333,155.000
heartrate,smartwatch,1454956243410572812,154.000
heartrate,smartwatch,1454956245070518229,153.000
heartrate,smartwatch,1454956245186539479,154.000
heartrate,smartwatch,1454956245306521093,153.000
heartrate,smartwatch,1454956245547517448,154.000
heartrate,smartwatch,1454956246642512344,154.000
heartrate,smartwatch,1454956246754552396,155.000
heartrate,smartwatch,1454956248659568854,154.000
heartrate,smartwatch,1454956248772546197,155.000
heartrate,smartwatch,1454956250817546406,156.000
heartrate,smartwatch,1454956251400512448,155.000
heartrate,smartwatch,1454956251888552343,156.000
heartrate,smartwatch,1454956252836498437,155.000
heartrate,smartwatch,1454956253190550260,154.000
heartrate,smartwatch,1454956253425573385,153.000
heartrate,smartwatch,1454956253665510625,152.000
heartrate,smartwatch,1454956254028482136,151.000
heartrate,smartwatch,1454956254149573073,152.000
heartrate,smartwatch,1454956254979515105,151.000
heartrate,smartwatch,1454956255221420938,152.000
heartrate,smartwatch,1454956256810517865,150.000
heartrate,smartwatch,1454956257282516094,149.000
heartrate,smartwatch,1454956257396545469,150.000
heartrate,smartwatch,1454956257645418698,149.000
heartrate,smartwatch,1454956257758521250,150.000
heartrate,smartwatch,1454956258110538334,149.000
heartrate,smartwatch,1454956259053570989,148.000
heartrate,smartwatch,1454956259767517344,149.000
heartrate,smartwatch,1454956260141753229,150.000
heartrate,smartwatch,1454956260374531042,151.000
heartrate,smartwatch,1454956260608550104,152.000
heartrate,smartwatch,1454956260724577552,151.000
heartrate,smartwatch,1454956260844511042,152.000
heartrate,smartwatch,1454956260964508281,151.000
heartrate,smartwatch,1454956261214421094,150.000
heartrate,smartwatch,1454956261328536875,149.000
heartrate,smartwatch,1454956261687481250,150.000
heartrate,smartwatch,1454956261805575521,151.000
heartrate,smartwatch,1454956261920577083,152.000
heartrate,smartwatch,1454956262158575260,154.000
heartrate,smartwatch,1454956262278517084,153.000
heartrate,smartwatch,1454956262398498490,155.000
heartrate,smartwatch,1454956262634517969,156.000
heartrate,smartwatch,1454956262871520990,157.000
heartrate,smartwatch,1454956263712547604,158.000
heartrate,smartwatch,1454956264066570156,158.000
heartrate,smartwatch,1454956264186516927,159.000
heartrate,smartwatch,1454956264304521094,159.000
heartrate,smartwatch,1454956264543572448,160.000
heartrate,smartwatch,1454956265856516406,161.000
heartrate,smartwatch,1454956267169489479,163.000
heartrate,smartwatch,1454956268228494948,162.000
heartrate,smartwatch,1454956269532480937,163.000
heartrate,smartwatch,1454956272187519114,164.000
heartrate,smartwatch,1454956272761548021,165.000
heartrate,smartwatch,1454956272877575782,164.000
heartrate,smartwatch,1454956272995574323,165.000
heartrate,smartwatch,1454956274076549115,166.000
heartrate,smartwatch,1454956274443569844,167.000
heartrate,smartwatch,1454956275389518489,168.000
heartrate,smartwatch,1454956276936354115,169.000
heartrate,smartwatch,1454956277051515678,168.000
heartrate,smartwatch,1454956277159444063,169.000
heartrate,smartwatch,1454956277872460052,170.000
heartrate,smartwatch,1454956277988493385,169.000
heartrate,smartwatch,1454956279862572552,168.000
heartrate,smartwatch,1454956279981545729,169.000
heartrate,smartwatch,1454956280098547448,168.000
heartrate,smartwatch,1454956280230422708,169.000
heartrate,smartwatch,1454956280345547864,168.000
heartrate,smartwatch,1454956280820518021,167.000
heartrate,smartwatch,1454956281052537032,166.000
heartrate,smartwatch,1454956281290538698,165.000
heartrate,smartwatch,1454956281541520312,164.000
heartrate,smartwatch,1454956282006550833,163.000
heartrate,smartwatch,1454956282362515104,162.000
heartrate,smartwatch,1454956283192535938,161.000
heartrate,smartwatch,1454956283430518177,160.000
heartrate,smartwatch,1454956283549541770,159.000
heartrate,smartwatch,1454956283802476302,158.000
heartrate,smartwatch,1454956284284548385,157.000
heartrate,smartwatch,1454956284639573281,156.000
heartrate,smartwatch,1454956285133549218,155.000
heartrate,smartwatch,1454956285488553438,154.000
heartrate,smartwatch,1454956285731520677,153.000
heartrate,smartwatch,1454956286232495052,153.000
heartrate,smartwatch,1454956286336535521,152.000
heartrate,smartwatch,1454956286688546093,151.000
heartrate,smartwatch,1454956287613518698,150.000
heartrate,smartwatch,1454956287970551562,149.000
heartrate,smartwatch,1454956290229539479,150.000
heartrate,smartwatch,1454956290350517500,149.000
heartrate,smartwatch,1454956290466539167,150.000
heartrate,smartwatch,1454956290584547917,149.000
heartrate,smartwatch,1454956290697574844,148.000
heartrate,smartwatch,1454956290950480417,147.000
heartrate,smartwatch,1454956291181515729,146.000
heartrate,smartwatch,1454956291414546823,145.000
heartrate,smartwatch,1454956292477507448,144.000
heartrate,smartwatch,1454956292716545834,143.000
heartrate,smartwatch,1454956293063576666,142.000
heartrate,smartwatch,1454956293311434948,141.000
heartrate,smartwatch,1454956293547478437,140.000
heartrate,smartwatch,1454956293665512031,139.000
heartrate,smartwatch,1454956293781518854,140.000
heartrate,smartwatch,1454956293901517239,139.000
heartrate,smartwatch,1454956294981549063,140.000
heartrate,smartwatch,1454956295220548698,141.000
heartrate,smartwatch,1454956295574550677,140.000
heartrate,smartwatch,1454956295712459062,141.000
heartrate,smartwatch,1454956295828495469,140.000
heartrate,smartwatch,1454956296753545313,138.000
heartrate,smartwatch,1454956297465549844,137.000
heartrate,smartwatch,1454956298070476146,138.000
heartrate,smartwatch,1454956298303513490,139.000
heartrate,smartwatch,1454956298652545781,141.000
heartrate,smartwatch,1454956298768570989,140.000
heartrate,smartwatch,1454956298888554584,141.000
heartrate,smartwatch,1454956299723531042,140.000
heartrate,smartwatch,1454956300684530104,139.000
heartrate,smartwatch,1454956300805549636,140.000
heartrate,smartwatch,1454956300925547448,139.000
heartrate,smartwatch,1454956301046545937,140.000
heartrate,smartwatch,1454956301171551093,139.000
heartrate,smartwatch,1454956301295531198,140.000
heartrate,smartwatch,1454956301659480261,141.000
heartrate,smartwatch,1454956302011550260,142.000
heartrate,smartwatch,1454956303436551719,143.000
heartrate,smartwatch,1454956303791517813,144.000
heartrate,smartwatch,1454956304159548177,145.000
heartrate,smartwatch,1454956304400519687,146.000
heartrate,smartwatch,1454956305344549896,145.000
heartrate,smartwatch,1454956305583551198,144.000
heartrate,smartwatch,1454956305947457812,143.000
heartrate,smartwatch,1454956306892537968,145.000
heartrate,smartwatch,1454956307359574166,146.000
heartrate,smartwatch,1454956307480576146,145.000
heartrate,smartwatch,1454956307614503750,146.000
heartrate,smartwatch,1454956307982540000,147.000
heartrate,smartwatch,1454956308232516875,148.000
heartrate,smartwatch,1454956309479546406,147.000
heartrate,smartwatch,1454956309601549687,148.000
heartrate,smartwatch,1454956309726517343,147.000
heartrate,smartwatch,1454956310106478281,148.000
heartrate,smartwatch,1454956310229520208,147.000
heartrate,smartwatch,1454956310348520312,148.000
heartrate,smartwatch,1454956310585545312,149.000
heartrate,smartwatch,1454956310948543698,151.000
heartrate,smartwatch,1454956311297364583,152.000
heartrate,smartwatch,1454956312009548802,153.000
heartrate,smartwatch,1454956312125571407,152.000
heartrate,smartwatch,1454956312246545052,153.000
heartrate,smartwatch,1454956312950549011,154.000
heartrate,smartwatch,1454956313071545937,153.000
heartrate,smartwatch,1454956313187436979,154.000
heartrate,smartwatch,1454956313540573698,155.000
heartrate,smartwatch,1454956313909549010,156.000
heartrate,smartwatch,1454956316313544271,158.000
heartrate,smartwatch,1454956316429476875,159.000
heartrate,smartwatch,1454956316551547343,160.000
heartrate,smartwatch,1454956317613574479,161.000
heartrate,smartwatch,1454956317844543386,161.000
heartrate,smartwatch,1454956317970509011,162.000
heartrate,smartwatch,1454956320613549166,163.000
heartrate,smartwatch,1454956321231501667,164.000
heartrate,smartwatch,1454956321459520730,165.000
heartrate,smartwatch,1454956321572545469,164.000
heartrate,smartwatch,1454956321693549948,165.000
heartrate,smartwatch,1454956321816519531,164.000
heartrate,smartwatch,1454956322070477812,165.000
heartrate,smartwatch,1454956322549518490,166.000
heartrate,smartwatch,1454956323403491458,165.000
heartrate,smartwatch,1454956323648518438,164.000
heartrate,smartwatch,1454956323885519115,163.000
heartrate,smartwatch,1454956324361549584,162.000
heartrate,smartwatch,1454956325091519635,161.000
heartrate,smartwatch,1454956325203549115,162.000
heartrate,smartwatch,1454956325318575364,161.000
heartrate,smartwatch,1454956325435571042,162.000
heartrate,smartwatch,1454956327191546302,160.000
heartrate,smartwatch,1454956328011422656,161.000
heartrate,smartwatch,1454956329559572969,162.000
heartrate,smartwatch,1454956330158570261,163.000
heartrate,smartwatch,1454956331480572396,162.000
heartrate,smartwatch,1454956331973520157,161.000
heartrate,smartwatch,1454956333024572083,160.000
heartrate,smartwatch,1454956333733515209,161.000
heartrate,smartwatch,1454956333977419114,162.000
heartrate,smartwatch,1454956334336519271,163.000
heartrate,smartwatch,1454956334566546927,164.000
heartrate,smartwatch,1454956337331517604,164.000
heartrate,smartwatch,1454956337580479115,163.000
heartrate,smartwatch,1454956337806492708,162.000
heartrate,smartwatch,1454956338044574270,161.000
heartrate,smartwatch,1454956338278539063,160.000
heartrate,smartwatch,1454956338506536406,158.000
heartrate,smartwatch,1454956338748432812,157.000
heartrate,smartwatch,1454956338979551094,156.000
heartrate,smartwatch,1454956339689548125,157.000
heartrate,smartwatch,1454956339806548593,158.000
heartrate,smartwatch,1454956340064548333,159.000
heartrate,smartwatch,1454956340414535729,160.000
heartrate,smartwatch,1454956340647588229,161.000
heartrate,smartwatch,1454956341475572709,162.000
heartrate,smartwatch,1454956341587493334,163.000
heartrate,smartwatch,1454956341823517032,164.000
heartrate,smartwatch,1454956342313477761,165.000
heartrate,smartwatch,1454956344688478073,164.000
heartrate,smartwatch,1454956346781545468,162.000
heartrate,smartwatch,1454956347027417396,161.000
heartrate,smartwatch,1454956347256546354,160.000
heartrate,smartwatch,1454956347489511979,159.000
heartrate,smartwatch,1454956348076539479,160.000
heartrate,smartwatch,1454956348910498490,161.000
heartrate,smartwatch,1454956349031517917,160.000
heartrate,smartwatch,1454956349152605416,161.000
heartrate,smartwatch,1454956349268519636,160.000
heartrate,smartwatch,1454956349398456979,161.000
heartrate,smartwatch,1454956350939573230,162.000
heartrate,smartwatch,1454956351287542708,163.000
heartrate,smartwatch,1454956352027516407,162.000
heartrate,smartwatch,1454956352148516979,163.000
heartrate,smartwatch,1454956352268577708,162.000
heartrate,smartwatch,1454956352383573542,163.000
heartrate,smartwatch,1454956353503517760,164.000
heartrate,smartwatch,1454956353626549531,165.000
heartrate,smartwatch,1454956353744550052,164.000
heartrate,smartwatch,1454956353870549167,165.000
heartrate,smartwatch,1454956353995538281,166.000
heartrate,smartwatch,1454956354379536146,167.000
heartrate,smartwatch,1454956355010550729,168.000
heartrate,smartwatch,1454956355521401406,167.000
heartrate,smartwatch,1454956356010478698,166.000
heartrate,smartwatch,1454956356266067865,165.000
heartrate,smartwatch,1454956356482544791,164.000
heartrate,smartwatch,1454956357081519584,165.000
heartrate,smartwatch,1454956358260549739,166.000
heartrate,smartwatch,1454956358489551302,168.000
heartrate,smartwatch,1454956358605571354,167.000
heartrate,smartwatch,1454956359093476250,166.000
heartrate,smartwatch,1454956359208550156,167.000
heartrate,smartwatch,1454956359926495781,168.000
heartrate,smartwatch,1454956360162538698,169.000
heartrate,smartwatch,1454956360297307344,170.000
heartrate,smartwatch,1454956360406575052,169.000
heartrate,smartwatch,1454956360528539479,170.000
heartrate,smartwatch,1454956360891550938,171.000
heartrate,smartwatch,1454956361245546718,172.000
heartrate,smartwatch,1454956361955572657,173.000
heartrate,smartwatch,1454956362550509271,172.000
heartrate,smartwatch,1454956364814575156,173.000
heartrate,smartwatch,1454956366636545625,171.000
heartrate,smartwatch,1454956366883591302,170.000
heartrate,smartwatch,1454956367119546198,169.000
heartrate,smartwatch,1454956367594518646,168.000
heartrate,smartwatch,1454956367828514739,167.000
heartrate,smartwatch,1454956367945367083,168.000
heartrate,smartwatch,1454956368402516927,169.000
heartrate,smartwatch,1454956368513577604,168.000
heartrate,smartwatch,1454956368998510052,167.000
heartrate,smartwatch,1454956369700551615,166.000
heartrate,smartwatch,1454956370541573282,165.000
heartrate,smartwatch,1454956370777453698,164.000
heartrate,smartwatch,1454956371022474531,163.000
heartrate,smartwatch,1454956371500571719,162.000
heartrate,smartwatch,1454956371973518854,161.000
heartrate,smartwatch,1454956372090516823,162.000
heartrate,smartwatch,1454956373746548854,161.000
heartrate,smartwatch,1454956374931576198,162.000
heartrate,smartwatch,1454956375524090313,163.000
heartrate,smartwatch,1454956376594567292,161.000
heartrate,smartwatch,1454956376827054583,160.000
heartrate,smartwatch,1454956378024539480,159.000
heartrate,smartwatch,1454956378272519115,158.000
heartrate,smartwatch,1454956378743555417,157.000
heartrate,smartwatch,1454956378975575521,158.000
heartrate,smartwatch,1454956379346503229,157.000
heartrate,smartwatch,1454956379465537291,158.000
heartrate,smartwatch,1454956379585497395,157.000
heartrate,smartwatch,1454956380100782031,158.000
heartrate,smartwatch,1454956380327496927,159.000
heartrate,smartwatch,1454956380578421823,160.000
heartrate,smartwatch,1454956380941574479,161.000
heartrate,smartwatch,1454956382236573802,160.000
heartrate,smartwatch,1454956382704552031,159.000
heartrate,smartwatch,1454956383308573437,158.000
heartrate,smartwatch,1454956384856519480,159.000
heartrate,smartwatch,1454956385091540052,160.000
heartrate,smartwatch,1454956385213515885,161.000
heartrate,smartwatch,1454956385464547031,162.000
heartrate,smartwatch,1454956385961547708,163.000
heartrate,smartwatch,1454956386544473229,163.000
heartrate,smartwatch,1454956387480519010,162.000
heartrate,smartwatch,1454956388288572657,161.000
heartrate,smartwatch,1454956389140507813,160.000
heartrate,smartwatch,1454956389605510365,159.000
heartrate,smartwatch,1454956389833551146,158.000
heartrate,smartwatch,1454956390440545365,157.000
heartrate,smartwatch,1454956390560534270,158.000
heartrate,smartwatch,1454956391174538281,159.000
heartrate,smartwatch,1454956392019519063,158.000
heartrate,smartwatch,1454956392256517396,157.000
heartrate,smartwatch,1454956392364517239,156.000
heartrate,smartwatch,1454956392840580104,155.000
heartrate,smartwatch,1454956394033537708,156.000
heartrate,smartwatch,1454956394156550677,157.000
heartrate,smartwatch,1454956394515546407,158.000
heartrate,smartwatch,1454956395232514063,159.000
heartrate,smartwatch,1454956395345551146,158.000
heartrate,smartwatch,1454956395462574947,159.000
heartrate,smartwatch,1454956396630569323,159.000
heartrate,smartwatch,1454956396766754271,160.000
heartrate,smartwatch,1454956398583572709,159.000
heartrate,smartwatch,1454956399526545782,158.000
heartrate,smartwatch,1454956400018577188,157.000
heartrate,smartwatch,1454956400373536667,156.000
heartrate,smartwatch,1454956400612514427,155.000
heartrate,smartwatch,1454956400727513906,154.000
heartrate,smartwatch,1454956400862363177,153.000
heartrate,smartwatch,1454956400978516458,152.000
heartrate,smartwatch,1454956401214451562,151.000
heartrate,smartwatch,1454956402748524375,152.000
heartrate,smartwatch,1454956403104517968,151.000
heartrate,smartwatch,1454956404182514427,152.000
heartrate,smartwatch,1454956404548518646,153.000
heartrate,smartwatch,1454956404785549740,152.000
heartrate,smartwatch,1454956405022518021,151.000
heartrate,smartwatch,1454956405744498594,152.000
heartrate,smartwatch,1454956406662574844,152.000
heartrate,smartwatch,1454956407630489844,151.000
heartrate,smartwatch,1454956407743573802,152.000
heartrate,smartwatch,1454956407858572916,151.000
heartrate,smartwatch,1454956408108519532,150.000
heartrate,smartwatch,1454956409046518021,149.000
heartrate,smartwatch,1454956409533549375,150.000
heartrate,smartwatch,1454956410009575468,151.000
heartrate,smartwatch,1454956410129550834,150.000
heartrate,smartwatch,1454956410500514688,149.000
heartrate,smartwatch,1454956410735574011,148.000
heartrate,smartwatch,1454956410973572760,147.000
heartrate,smartwatch,1454956411093518125,146.000
heartrate,smartwatch,1454956411324805312,145.000
heartrate,smartwatch,1454956411440517968,144.000
