sensor_type,device_type,timestamps,level
battery,smartphone,1454958615137000000,95.000
battery,smartphone,1454958644518000000,95.000
battery,smartphone,1454958705097000000,95.000
battery,smartphone,1454958734855000000,95.000
battery,smartphone,1454958795097000000,95.000
battery,smartphone,1454958795162000000,95.000
battery,smartphone,1454958885149000000,94.000
battery,smartphone,1454958890038000000,94.000
battery,smartphone,1454958975121000000,94.000
battery,smartphone,1454958991282000000,94.000
battery,smartphone,1454959065126000000,94.000
battery,smartphone,1454959086163000000,94.000
battery,smartphone,1454959155118000000,94.000
battery,smartphone,1454959155711000000,94.000
battery,smartphone,1454959245094000000,94.000
battery,smartphone,1454959258836000000,94.000
battery,smartphone,1454959335055000000,93.000
battery,smartphone,1454959363549000000,93.000
battery,smartphone,1454959425140000000,93.000
battery,smartphone,1454959515008000000,93.000
battery,smartphone,1454959519363000000,93.000
battery,smartphone,1454959605139000000,93.000
battery,smartphone,1454959626323000000,93.000
battery,smartphone,1454959695144000000,93.000
battery,smartphone,1454959695451000000,93.000
battery,smartphone,1454959785038000000,93.000
battery,smartphone,1454959791167000000,92.000
battery,smartphone,1454959875078000000,92.000
battery,smartphone,1454959894984000000,92.000
battery,smartphone,1454959965113000000,92.000
battery,smartphone,1454959985691000000,92.000
battery,smartphone,1454960055019000000,92.000
battery,smartphone,1454960145133000000,92.000
battery,smartphone,1454960147594000000,92.000
battery,smartphone,1454960235125000000,92.000
battery,smartphone,1454960253639000000,92.000
battery,smartphone,1454960325072000000,92.000
battery,smartphone,1454960345239000000,91.000
battery,smartphone,1454960415166000000,91.000
battery,smartphone,1454960435455000000,91.000
battery,smartphone,1454960505115000000,91.000
battery,smartphone,1454960530734000000,91.000
battery,smartphone,1454960595124000000,91.000
battery,smartphone,1454960595826000000,91.000
battery,smartphone,1454960685115000000,91.000
battery,smartphone,1454960691641000000,91.000
battery,smartphone,1454960775135000000,91.000
battery,smartphone,1454960786708000000,91.000
battery,smartphone,1454960865138000000,91.000
battery,smartphone,1454960886926000000,91.000
battery,smartphone,1454960955127000000,91.000
battery,smartphone,1454960982975000000,91.000
battery,smartphone,1454961045442000000,90.000
battery,smartphone,1454961046407000000,90.000
battery,smartphone,1454961135134000000,90.000
battery,smartphone,1454961138682000000,90.000
battery,smartphone,1454961225114000000,90.000
battery,smartphone,1454961234462000000,90.000
battery,smartphone,1454961315104000000,90.000
battery,smartphone,1454961329134000000,90.000
battery,smartphone,1454961405133000000,90.000
battery,smartphone,1454961419457000000,90.000
battery,smartphone,1454961495157000000,90.000
battery,smartphone,1454961517756000000,90.000
battery,smartphone,1454961585100000000,89.000
battery,smartphone,1454961675076000000,89.000
battery,smartphone,1454961690037000000,89.000
battery,smartphone,1454961765028000000,89.000
battery,smartphone,1454961789419000000,89.000
battery,smartphone,1454961855152000000,89.000
battery,smartphone,1454961945135000000,89.000
battery,smartphone,1454961949727000000,89.000
battery,smartphone,1454962035098000000,89.000
battery,smartphone,1454962054979000000,88.000
battery,smartphone,1454962125112000000,88.000
battery,smartphone,1454962150266000000,88.000
battery,smartphone,1454962215147000000,88.000
battery,smartphone,1454962240698000000,88.000
battery,smartphone,1454962305137000000,88.000
battery,smartphone,1454962330978000000,88.000
battery,smartphone,1454962395104000000,88.000
battery,smartphone,1454962399897000000,88.000
battery,smartphone,1454962485097000000,88.000
battery,smartphone,1454962491566000000,88.000
battery,smartphone,1454962575020000000,88.000
battery,smartphone,1454962594219000000,87.000
battery,smartphone,1454962665037000000,87.000
battery,smartphone,1454962686982000000,87.000
battery,smartphone,1454962755098000000,87.000
battery,smartphone,1454962782129000000,87.000
battery,smartphone,1454962845109000000,87.000
battery,smartphone,1454962850422000000,87.000
battery,smartphone,1454962935027000000,87.000
battery,smartphone,1454962948430000000,87.000
battery,smartphone,1454963025103000000,86.000
battery,smartphone,1454963050938000000,86.000
battery,smartphone,1454963115005000000,86.000
battery,smartphone,1454963119352000000,86.000
battery,smartphone,1454963205104000000,86.000
battery,smartphone,1454963214556000000,86.000
battery,smartphone,1454963295031000000,86.000
battery,smartphone,1454963317360000000,86.000
battery,smartphone,1454963385031000000,85.000
battery,smartphone,1454963409456000000,85.000
battery,smartphone,1454963475017000000,85.000
battery,smartphone,1454963479552000000,85.000
battery,smartphone,1454963565039000000,85.000
battery,smartphone,1454963570208000000,85.000
battery,smartphone,1454963587375000000,85.000
battery,smartphone,1454963655052000000,86.000
battery,smartphone,1454963670292000000,86.000
battery,smartphone,1454963745218000000,87.000
battery,smartphone,1454963749149000000,87.000
battery,smartphone,1454963760241000000,87.000
battery,smartphone,1454963770626000000,87.000
battery,smartphone,1454963835155000000,88.000
battery,smartphone,1454963841097000000,88.000
battery,smartphone,1454963851164000000,88.000
battery,smartphone,1454963925154000000,89.000
battery,smartphone,1454963931499000000,89.000
battery,smartphone,1454963947386000000,89.000
